Name,Party,Constituency,Date of Birth,Education,State,Term,Body
John Kojo Brambaifa,PDP,Bayelsa West,"December, 1944",Bachelor of Science Degree,Bayelsa,2003 - 2007,senate
Inatimi Rufus Spiff,PDP,Bayelsa East,"December, 1956",Bachelor Degree in Liberal Arts and Science,Bayelsa,2003 - 2007,senate
Corbina Brigidi,,Bayelsa Central,"September, 1962",M.Sc.,Bayelsa,2003 - 2007,senate
Daniel Iyorkegh Saror,ANPP,Benue North/East,"October, 1941","Doctor of Philosophy, Master of Sc., Doctor of Medicine, Bachelor Science",Benue,2003 - 2007,senate
Adagba Joshua A.,PDP,Benue North/West,"January, 1944",MBBS,Benue,2003 - 2007,senate
David Mark,PDP,Benue South,"April, 1948",Bachelor Degree in Telecommunication,Benue,2003 - 2007,senate
Mohammed Abba Aji,ANPP,Borno Central,"August, 1951",PH.D,Borno,2003 - 2007,senate
Omar Abubakar Hamdagda,ANPP,Borno South,"July, 1949",Master of Art Degree,Borno,2003 - 2007,senate
Mohammed Sanusi Daggash,PDP,Borno North,"December, 1960",B.Sc & Master in Architecture,Borno,2003 - 2007,senate
Victor Ndoma-Egba,PDP,Cross River Central,"March, 1956","LL.B, BL, LL.M",Cross River,2003 - 2007,senate
Greg I. Ngaji,PDP,Cross River North,"November, 1946",Bachelor in Law,Cross River,2003 - 2007,senate
Bassey Wea Henshaw,PDP,Cross River South,"May, 1943",Masters in Business Administration,Cross River,2003 - 2007,senate
James Ebiowou,PDP,Delta South,"July, 1960",Bachelors and Masters Degree in Law,Delta,2003 - 2007,senate
Patrick Enebeli Osakwe,PDP,Delta North,"August, 1948","B.Sc, M.Sc, LLB, BL",Delta,2003 - 2007,senate
Felix Ovuodoroye Ibru,PDP,Delta Central,"December, 1935",Masters of Science in Architecture,Delta,2003 - 2007,senate
Nshii Christopher C.,PDP,Ebonyi North,"November, 1949","WASC, Grade Level II Teachers Certificate",Ebonyi,2003 - 2007,senate
"Agboti, Azu Emmanuel",PDP,Ebonyi South,,Bachelor's of Science Degree,Ebonyi,2003 - 2007,senate
Ucha Julius Ali,PDP,Ebonyi Central,"October, 1958",Bachelor of Law Degree,Ebonyi,2003 - 2007,senate
Daisy Ehanire Danjuma,PDP,Edo South,"August, 1952",Bachelor Degree in Law & Barrister,Edo,2003 - 2007,senate
Oserheimen Osunbor,PDP,Edo Central,"October, 1951",PH.D in Law,Edo,2003 - 2007,senate
Victor Isa Oyofo,PDP,Edo North,"June, 1943",Bachelor Degree in Petroleum Geology,Edo,2003 - 2007,senate
James Olagunju Kolawole,AD,Ekiti North,"December, 1939",Masters Degree in Public Admin.,Ekiti,2003 - 2007,senate
Clement Kola Awoyelu,PDP,Ekiti Central,"August, 1943","Master Degree in Public Admin., Diploma in Fin. Mgt.",Ekiti,2003 - 2007,senate
Bode Olowoporoku,PDP,Ekiti South,"September, 1945",Doctorate Degree in Econs.,Ekiti,2003 - 2007,senate
Ike Ekweremadu,PDP,Enugu West,"May, 1962",Master Degree in Law,Enugu,2003 - 2007,senate
Ken. Nnamani,PDP,Enugu East,"November, 1948",M.Sc Bus. Admin.,Enugu,2003 - 2007,senate
Fidelis C. Okoro,PDP,Enugu North,"July, 1946",Bachelor of Science Degree,Enugu,2003 - 2007,senate
Sa'ad Abubakar Moh'd,PDP,Gombe Central,"January, 1942",Advance/Higher Certificate in Telecommunication,Gombe,2003 - 2007,senate
Haruna Garba,ANPP,Gombe North,"January, 1953",Diploma in Accountancy,Gombe,2003 - 2007,senate
Tawaru Mbiwada,PDP,Gombe,,,Gombe,2003 - 2007,senate
Ifeanyi G. Araraume,PDP,Imo North,"December, 1958",Masters of Science in International Relations,Imo,2003 - 2007,senate
Amah C. Iwuagwu,PDP,Imo East,"January, 1955",AB. (Econs.),Imo,2003 - 2007,senate
Arthur Nzeribe,PDP,Imo West,"February, 1938",WASC,Imo,2003 - 2007,senate
Muhammed Ibrahim,ANPP,Jigawa North-East,"February, 1952",General Certificate in Education,Jigawa,2003 - 2007,senate
Bello Maitama Yusuf,ANPP,Jigawa South-West,"April, 1947",Bachelor's Degree in Law,Jigawa,2003 - 2007,senate
Dalha Ahmed Danzomo,ANPP,Jigawa North-West,,Bachelor of Science Degree in Accounting,Jigawa,2003 - 2007,senate
Muktar A. M. Aruwa,ANPP,Kaduna Central,"February, 1948","ATP, CPL, A & Engineering",Kaduna,2003 - 2007,senate
Isaiah Chawai Balat,PDP,Kaduna South,"October, 1952","AMP, Advancement Mgt.",Kaduna,2003 - 2007,senate
D. S. Tafida,PDP,Kaduna North,"November, 1940","MRCP, DPH.",Kaduna,2003 - 2007,senate
Usman Kibiya Umar,ANPP,Kano South,"June, 1949",Bachelor's Degree in Political Science,Kano,2003 - 2007,senate
Rufai S. Hanga,ANPP,Kano Central,"August, 1954",Bachelor's Degree in Accountancy,Kano,2003 - 2007,senate
Bello Hayatu-Gwarzo,PDP,Kano North,"April, 1960",National Diploma,Kano,2003 - 2007,senate
Tsauri Umar Ibrahim,PDP,Kastina Central,,Bachelor of Education,Katsina,2003 - 2007,senate
M. K. Bello,ANPP,Katsina North,"January, 1945",Bachelor of Engineering Degree,Katsina,2003 - 2007,senate
Abu Ibrahim,ANPP,Katsina South,"October, 1945",Master of Science Degree,Katsina,2003 - 2007,senate
Farouk Bello Bunza,ANPP,Kebbi Central,"May, 1965",Master Degree in Econs,Kebbi,2003 - 2007,senate
Usman Sani Sami,ANPP,Kebbi South,"January, 1945",Post Graduate Diploma,Kebbi,2003 - 2007,senate
Sani A. Kamba,ANPP,Kebbi North,"July, 1947",Teacher's Certificate,Kebbi,2003 - 2007,senate
Jonathan Tunde Ogbeha,PDP,Kogi West,"September, 1947",WASC and Military Diploma,Kogi,2003 - 2007,senate
Mohammed Ohiare,PDP,Kogi Central,"January, 1954",Master of Science in Construction Management,Kogi,2003 - 2007,senate
Nicholas Yahaya Ugbane,ANPP,Kogi East,"December, 1953",Masters Degree in Business Administration,Kogi,2003 - 2007,senate
Makanjuola S. Ajadi,ANPP,Kwara South,"June, 1957",Masters Degree in Business Administration,Kwara,2003 - 2007,senate
Ahmed Moh'd Inuwa,PDP,Kwara North,"September, 1948",Member National Institute,Kwara,2003 - 2007,senate
R. Gbemisola Saraki-Fowora,PDP,Kwara Central,"May, 1965",Bachelor Degree in Economics,Kwara,2003 - 2007,senate
Adeleke Olorunimbe Mamora,AD,Lagos East,"February, 1953","B.Sc. M.B. CH.B,",Lagos,2003 - 2007,senate
Tokunbo Afikuyomi,AD,Lagos West,"December, 1962",Bachelor of Science,Lagos,2003 - 2007,senate
Moh'd Musiliu Olatunde,AD,Lagos Central,"July, 1954",Bachelor of Science and Master of Public Admin.,Lagos,2003 - 2007,senate
Okpede Emmanuel O. D.,PDP,Nasarawa South,"August, 1960",Doctor Philosophy (PH.D) in Guidance and Counseling,Nasarawa,2003 - 2007,senate
John M. Danboyi,PDP,Nasarawa North,"November, 1962",HND in Quantity Survey,Nasarawa,2003 - 2007,senate
A. D. Sodangi,PDP,Niger North,"January, 1954",Bachelor of Law Degree,Nasarawa,2003 - 2007,senate
Idris Ibrahim Kuta,PDP,Niger East,"October, 1942","Diploma in Quantity Surveying, Doctor of Sc. in Quantity Surveying",Niger,2003 - 2007,senate
Isa Muhammed,PDP,Niger South,"April, 1948",HSC/GCE Certificate,Niger,2003 - 2007,senate
Nuhu Aliyu,PDP,Niger North,"June, 1941",Advance Police Mngt.,Niger,2003 - 2007,senate
Anisulowo Iyabode,PDP,Ogun West,"March, 1951",Bachelors of Education in Mathematics,Ogun,2003 - 2007,senate
Ibikunle Amosun,PDP,Ogun Central,"January, 1958",Master Degree in International Finance,Ogun,2003 - 2007,senate
Ogunbanjo Olatokunbo,PDP,Ogun East,"August, 1956",Bachelor in Law,Ogun,2003 - 2007,senate
Gbenga Ogunniya,PDP,Ondo Central,"September, 1949",Bachelor Degree in Political Science,Ondo,2003 - 2007,senate
Titus Olajide Olupitan,AD,Ondo North,"July, 1939","FCIB, FCCA, ACA",Ondo,2003 - 2007,senate
Ehinlanwo Hosea Oladapo,PDP,Ondo South,"August, 1938",Master of Business Admin. LL.B; B.L,Ondo,2003 - 2007,senate
Iyiola Omisore,PDP,Osun East,"September, 1957",Master of Science (in Law),Osun,2003 - 2007,senate
Ogunwale Felix Kola,PDP,Osun Central,"June, 1952",WASC,Osun,2003 - 2007,senate
Akinlabi Olasunkanmi,PDP,Osun West,"March, 1956",Master Degree in Business Administration,Osun,2003 - 2007,senate
Ajimobi Abiola,AD,Oyo South,"December, 1949",Bachelor of Science and Masters in Bus. Admin.,Oyo,2003 - 2007,senate
Robert B. Koleosho,PDP,Oyo North,"January, 1934",Masters in Public Admin,Oyo,2003 - 2007,senate
Teslim Kolawole Folarin,PDP,Oyo Central,"Ocober, 1963","Bachelor of Science Degree in Political Science, MCSE",Oyo,2003 - 2007,senate
Ibrahim Nasiru Mantu,PDP,Plateau Central,"February, 1947",Diploma in Professional Salesmanship,Plateau,2003 - 2007,senate
Adudu T. A.,ANPP,Plateau North,"August, 1966",Bachelor of Law Degree,Plateau,2003 - 2007,senate
Cosmas Geokur Niagwan,PDP,Plateau South,"November, 1942",Masters Degree in Marine Navigation,Plateau,2003 - 2007,senate
John Azuta Mbata,PDP,River East,"January, 1960",Master in Public Admin. Ph.D Honoris Causa,Rivers,2003 - 2007,senate
Maeba Lee,PDP,Rivers South East,"February, 1966",Bachelor's Degree in Technology,Rivers,2003 - 2007,senate
Martyns-Yellowe Ibiapuye Soala,PDP,Rivers West,"November, 1945",Member of the Royal College of Psychiatrists (MRC PSYCH),Rivers,2003 - 2007,senate
Badamasi Muh'd Maccido,ANPP,Sokoto North,"September, 1961",Bachelor of Science Degree in Building,Sokoto,2003 - 2007,senate
Umaru Dahiru,ANPP,Sokoto South,"June, 1952",Bachelor in Law and Barrister at Law,Sokoto,2003 - 2007,senate
Sule Yari Gandi,ANPP,Sokoto East,"May, 1966",Masters Degree in Public Administration,Sokoto,2003 - 2007,senate
Abdulazeez A. Ibrahim,PDP,Taraba Central,"November, 1957",Master in Business Admin. (MBA) & A Bachelor Degree in Engr.,Taraba,2003 - 2007,senate
Saleh Usman Danboyi,PDP,Taraba South,"April, 1952",National Certificate in Education,Taraba,2003 - 2007,senate
Ambuno Zik Sunday,PDP,Taraba North,"November, 1952",Bachelor of Science Degree in Education; Master of Edu. Admin. & Planning,Taraba,2003 - 2007,senate
Albashir Shehu Usman,ANPP,Yobe North,"June, 1945",Secondary School Certificate,Yobe,2003 - 2007,senate
Usman Adamu Usman,ANPP,Yobe East,"April, 1955",Masters Degree in Business Admin; Bachelor Degree in Accountancy,Yobe,2003 - 2007,senate
Mamman B. Ali,ANPP,Yobe South,"April, 1958",Higher National Diploma in Civil Engr.,Yobe,2003 - 2007,senate
Saidu Moh'd Dansadau,ANPP,Zamfara Central,"June, 1953",Bachelor Degree in Ed.,Zamfara,2003 - 2007,senate
Yushau Moh'd Anka,ANPP,Zamfara West,"April, 1950",Masters Degree in Business Administration,Zamfara,2003 - 2007,senate
Lawal Shuaibu,ANPP,Zamfara North,"April, 1955",Higher Diploma in Marketing,Zamfara,2003 - 2007,senate
Isa Maina,PDP,FCT,"September, 1957",Master of Arts in International Law and Diplomacy,Federal Capital Territory,2003 - 2007,senate
Enwereuzor Eze Anthony,APP,Aba North/South,18/08/1951,(MBA) Finance,Abia,1999 - 2003,house
Ohuabunwa M. Arukwe,PDP,Arochukwu/Ohafia,24/05/1957,HND/Bachelor of Technology in Microbiology Bsc.,Abia,1999 - 2003,house
Macebuh Chinonyerem,PDP,Ukwa East/Ukwa West,8/07/1956,Bachelor Engineering,Abia,1999 - 2003,house
Iheanacho Obioma,PDP,Ikwuano/Umuhia North/South,17/04/1960,Bachelor Degree in Econs,Abia,1999 - 2003,house
Nwakanma Chimaobi,PDP,Isiala Ngwa North/ South,16/04/1944,Masters Degree in Marketing,Abia,1999 - 2003,house
Njoku Nnamdi,PDP,Bende,19/09/1963,Bachelor Degree,Abia,1999 - 2003,house
Uchechukwu N. Maduako,PDP,Isuikwato/Munneochi,02/02/1960,"MBA, Business Admin.",Abia,1999 - 2003,house
Clifford Ohiagu,PDP,Obingwa/Osisioma/ Ugwunagbo,31/10/1942,Doctoral Degree in Crop Protection,Abia,1999 - 2003,house
Maxwell Bulama,APP,Hong/Igombi,15/11/1950,Bachelor Degree in Business Administration,Adamawa,1999 - 2003,house
Barata Ahmed Hassan,PDP,Guyuk/Shelleng,13/02/1960,Diploma in Public Accounts & Audit,Adamawa,1999 - 2003,house
Babale Martin,PDP,Jada/Ganye/Mayo Belwa/ Toungo,1958,National Diploma in Agric Engineering,Adamawa,1999 - 2003,house
Gella Njida Ahmed,PDP,Mubi/MU/S/Maiha,1957,Diploma from College of Business Studies,Adamawa,1999 - 2003,house
Tukur Awwal D.,PDP,Yola North/Yola South/ Girei,25/03/1965,Bachelor of Law Degree; LLB,Adamawa,1999 - 2003,house
Gurin Nuhu Borbo,PDP,Fufore/Song,24/03/1958,Diploma in Sociology & Social Anthropology,Adamawa,1999 - 2003,house
Betu Mamuno,PDP,Demsa/Numan/Lamurde,30/10/1947,Bachelor of Law Degree,Adamawa,1999 - 2003,house
Kwaghe Ishaku Terei,PDP,Yola North/South Girei,,,Adamawa,1999 - 2003,house
Esu Tony Ibana,PDP,Ikot Ekpene/Essein Udim/ Ubot Akara ibana,04/08/1959,MBA in Finance,Akwa Ibom,1999 - 2003,house
Emaeyak N. Ukpong,PDP,Uyo/Uruan/Nsit Ata/ Ibeskip Asutan,26/04/1956,Ph.D in Industrial/ Environmental Microbiology,Akwa Ibom,1999 - 2003,house
Nduese Essein,PDP,Eket,02/02/1944,B.Sc (Hons.) in Business Administration,Akwa Ibom,1999 - 2003,house
Akpan Eno Sampson,PDP,Ukanafun/orukanam,25/07/1954,"HND, NNA",Akwa Ibom,1999 - 2003,house
Eyo Eno Akaninyene,APP,Abak,23/11/1966,Diploma (FIBAC) in Physiology /Pharmacology,Akwa Ibom,1999 - 2003,house
Udoh Bernard A. U.,PDP,Ikot Abasi/Mkpatenin/ Eastern Obolo,16/10/1962,Business Management,Akwa Ibom,1999 - 2003,house
Ita Solomon,PDP,Itu/Ibiono Ibom,23/08/1962,Bachelor of Law Degree,Akwa Ibom,1999 - 2003,house
Udoh Esio Oquong,PDP,Oron/Mbo/Okobo/Urue Offong/Oruko/Udung-Uko,13/04/1953,Doctoral Degree in General Medicine,Akwa Ibom,1999 - 2003,house
Minimah Iquo Iyang,PDP,Ikono/Ini,28/09/1965,Bachelor of Law Degree,Akwa Ibom,1999 - 2003,house
Bassey Asuquo Emah,PDP,Etinan,21/05/1956,Bachelor of Law Degree,Akwa Ibom,1999 - 2003,house
Ikpeazu Lynda Chuba,PDP,Onitsha North/South,22/06/1965,Bachelor Degree in Communication,Anambra,1999 - 2003,house
Okeke Fredrick A. U.,PDP,Ihiala,26/09/1945,Master Degree in Business Law,Anambra,1999 - 2003,house
Offodile Chudi,PDP,Awka North/South,19/11/1964,Bachelor of Law Degree & Post Graduate Diploma (Marketing),Anambra,1999 - 2003,house
Nnanyelugo Chukwu Chikelu,PDP,Anaocha/Njikoka/ Dunukofia,10/10/1966,Bachelor of Science Degree in Political Science & Public Admin.,Anambra,1999 - 2003,house
Uzoka Okwudili,,Ogbaru,26/10/1942,"Bachelor of Science in Agric., Economics",Anambra,1999 - 2003,house
Duru Chidi Okechukwu,PDP,Aguta,12/11/1966,Bachelor of Law Degree,Anambra,1999 - 2003,house
Ugokwe Jerry Sonny,PDP,Idemili North/South,14/04/1957,"Doctoral Degree, Ph.D in Urban Housing Policy & Implementation",Anambra,1999 - 2003,house
Anosike Emma Obiajulu,PDP,Anambra East/West,28/12/1961,B.Sc in Education,Anambra,1999 - 2003,house
Ughanze C. Nnaemeka,PDP,Oyi/Ayamelum,02/08/1958,Bachelor of Law Degree,Anambra,1999 - 2003,house
Okechukwu Udeh,PDP,Orumba North/South,01/07/1956,Medical Degree,Anambra,1999 - 2003,house
Efobi Bertrand Maduka,PDP,Nnewi North/South/ Ekwusigo,11/11/1942,Bachelor Degree in Economics,Anambra,1999 - 2003,house
Abdulahi Usman Matori,APP,Bauchi,10/10/1952,"HND, Undergoing Post-Graduate Studies",Bauchi,1999 - 2003,house
Ibrahim Zailani,APP,Toro,10/11/1957,Bachelor of Degree,Bauchi,1999 - 2003,house
Abdul Ahmed Ningi,PDP,Ningi/Wanji,20/04/1960,BS.c in Sociology,Bauchi,1999 - 2003,house
Dikko Moh. Samaila,PDP,Alkaler/Kirfi,15/04/1957,Bachelor Degree in Education,Bauchi,1999 - 2003,house
Mohammed Ibrahim,PDP,Gamawa,06/06/1953,HND in Administration,Bauchi,1999 - 2003,house
Dauda Garba Bundot,PDP,Bogoro/Dass/Tafawa Balewa,10/10/1963,Bachelor Degree in Accountancy,Bauchi,1999 - 2003,house
Adamu M. Bulkachuwa,PDP,Katagum,16/04/1940,Post Graduate Diploma in Public Administration,Bauchi,1999 - 2003,house
Bala Abdullahi,PDP,Misan/Dambam,19/07/1962,NCE in English and Hausa,Bauchi,1999 - 2003,house
Isa Hassan M.,,"Jama'are/Das, Gadau",30/09/1964,BS.c in Economics,Bauchi,1999 - 2003,house
Saleh Mohammed,PDP,Darazo/Ganjuwa,15/06/1953,Bachelor of Education,Bauchi,1999 - 2003,house
Hamisu Mu'azu Shira,PDP,Shira/Giade,10/10/1959,Bachelor of Science in Business Administration,Bauchi,1999 - 2003,house
Abdullahi Adamu,APP,Zaki,,,Bauchi,1999 - 2003,house
Ipigansi Graham,ANPP,Ogbia,23/12/1957,HND,Bayelsa,1999 - 2003,house
Andie Clement,PDP,Sagbama/Ekeremor,23/07/1963,B.Sc Banking and Finance,Bayelsa,1999 - 2003,house
Okoto Foster Bruce,PDP,Southern Ijaw,05/05/1969,B.Sc in Sociology,Bayelsa,1999 - 2003,house
Dieworio Wilson Wuku,PDP,Brass/Nembe,01/12/1961,Bachelor of Law Degree,Bayelsa,1999 - 2003,house
Epengule M. Torukurobo,PDP,Bayelsa Central,16/01/1961,WAEC,Bayelsa,1999 - 2003,house
Zakarie A. Malherbe,APP,Buruku,17/04/1940,Diploma in Police Management Science,Benue,1999 - 2003,house
Ikerave Goddy Igbaraav,PDP,Gwer/Gwer West,12/08/1950,Diploma in Journalism and HND International Advance Diploma in Journalism,Benue,1999 - 2003,house
Tachia Jooji,PDP,Vandeikya/Konshisha,27/08/1946,Bachelor Degree in English,Benue,1999 - 2003,house
Samuel Onazi Obande,PDP,Ado/Ogbadiggba/ Okpokwu,10/10/1964,Bachelor Degree in Building Management,Benue,1999 - 2003,house
Tsegba Terngu,PDP,Gboko/Tarka,04/03/1963,Post Graduate Diploma in Management,Benue,1999 - 2003,house
Solomon Umoru Agidani,PDP,Apa/Aguta,12/12/1958,Masters Degree in Construction Technology,Benue,1999 - 2003,house
Moses A. Tor Gbande,PDP,Kwande/Ushongo,26/08/1948,Bachelors Degree and Post Graduate in Diploma in Business Admin.,Benue,1999 - 2003,house
Cletus Tivnongu K. Upaa,PDP,Makurdi/Guma,20/07/1948,A.C.C.A (Level II),Benue,1999 - 2003,house
Altine Oga Idikwu,PDP,Igede (Oju/Obi),04/01/1960,Ordinary National Diploma,Benue,1999 - 2003,house
Suswam Gabriel Torwua,PDP,Katsina-Ala/Ukum/Logo,15/11/1964,Bachelor of Law Degree,Benue,1999 - 2003,house
Mohammed S. Daggash,PDP,"Marte, Mongoro, Nganzai",22/12/1960,Master of Science Degree in Architecture,Borno,1999 - 2003,house
Abubakar Kyari,APP,Mobbar/Abadam/ Kukawa/Guzamala,15/01/1963,MBA in Finance,Borno,1999 - 2003,house
Mustafa Alkali Gajibo,APP,Dikwa/Mafa/ Konguga,15/02/1950,Bachelor Degree in Electrical Consultant and Construction Engineer,Borno,1999 - 2003,house
Mohammed U. Kumalia,APP,Maiduguri Metropolitan,06/09/1967,Bachelors Degree in Law,Borno,1999 - 2003,house
Mohammed M. Damcida,PDP,Biu/Shani/Bayo/K.Kusar,1952,Bachelors Degree,Borno,1999 - 2003,house
Stanley Dika Ngada,PDP,Askira UBA/Hawul,21/05/1951,"Bachelor Degree of Law Degree (LL.M, B.L.)",Borno,1999 - 2003,house
Mohammed Wakil,PDP,Damboa/Gwoza Chibok,1965,"A Law Degree-LL.B, (Hons)",Borno,1999 - 2003,house
Shettima Shehu,APP,Kaga/ Gugbio/Magumari,28/10/1962,Bachelor of Science in Business Administration,Borno,1999 - 2003,house
Babagoni Bolori,APP,Jere,02/01/1969,National Diploma,Borno,1999 - 2003,house
Babagana Tijjani,APP,Bama/Ngala/Kala-Balge,1962,A.D.P.A.,Borno,1999 - 2003,house
Ebuta Amba Tangban,PDP,Obubra/Etung,,Master Degree (MSC) in Architecture,Cross River,1999 - 2003,house
Obeten Okorn Obeten,PDP,Yakurr/Abi,08/10/1956,Bachelor of Law Degree,Cross River,1999 - 2003,house
Alobi Odey Nyambi,PDP,Ikom/Boki,20/05/1952,Doctor of Medicine Degree,Cross River,1999 - 2003,house
Agbor Patric Okon,APP,Akamkpa/Biase,20/10/1952,Higher National Diploma in Agriculture,Cross River,1999 - 2003,house
Patrick Ene Okon,APP,Akpabuyo/Bakassi/ Calabar,06/04/1960,Master of Science in Public Relations,Cross River,1999 - 2003,house
Mike O. Ogar,APP,Bekwarra/Obaniliku,17/07/1962,Doctor Degree (PH.D) in City & Regional Planning,Cross River,1999 - 2003,house
Igbodor Peter Leja,APP,Ogoja/Iyala,17/07/1962,Bachelor Degree in Political Science & Public Admin.,Cross River,1999 - 2003,house
Nya Eyoma Asuquo,APP,Calabar Municipality Odukpani,,Doctoral Degree in Political Economy,Cross River,1999 - 2003,house
Aguariavwodo E. Edesiri,APP,Ughelli North/South/ Udo,08/12/1957,Bachelor Degree in Econs,Delta,1999 - 2003,house
John Halims O. Agoda,APP,Ethiope,01/01/1962,"Bachelor of Law Degree, LL.B",Delta,1999 - 2003,house
Agbeotu E. Emibra,APP,Burutu,03/03/1961,Master Degree in Environmental Management,Delta,1999 - 2003,house
Temi Harriman,APP,Warri,01/01/1963,Bachelor of Law Degree,Delta,1999 - 2003,house
Nduka Irabor,PDP,Ika,09/12/1958,Higher Diploma in Advance Journalism,Delta,1999 - 2003,house
Gabriel M. Dumi,PDP,Okpe/Sapele/Uvwie,10/10/1940,Bachelor of Law Degree & LL.B,Delta,1999 - 2003,house
Mercy Almona-Isei,PDP,Ndokwa/Ukwani,24/08/1951,Diploma in Mass Comm.,Delta,1999 - 2003,house
Efekodha A. Onomuefe,PDP,Isoko North/ Isoko South,12/04/1947,Bachelor Degree in Mechanical Engineering,Delta,1999 - 2003,house
Ned Munir Nwoko,PDP,"Aniocha North/South, Oshimili North & South",21/12/1960,Barrister at Law,Delta,1999 - 2003,house
Solo Ogoh,PDP,Bomadi/Patani,,,Delta,1999 - 2003,house
Agwu O. Nnachi,PDP,Afikpo North/South,24/05/1964,PH.D Electrical Engineering,Ebonyi,1999 - 2003,house
Ogodo Patience Uwa,PDP,Ebonyi Ohaukwu,18/11/1958,NCE Certificate,Ebonyi,1999 - 2003,house
Onwe Peter Sunday,PDP,Ishielu/Ezza North,20/05/1964,School Certificate,Ebonyi,1999 - 2003,house
Kelechi Les Chima,PDP,Ebonyi,12/08/1965,Master's Degree in Architecture,Ebonyi,1999 - 2003,house
Elem Mwigboji Francis,,Ezza South/Ikwo,15/07/1962,Bachelor Degree in Statistics,Ebonyi,1999 - 2003,house
Alexander Nwofe,PDP,Abakaliki,15/08/1961,Barrister at Law,Ebonyi,1999 - 2003,house
Lakoju J. Babatunde,APP,Akoko-Edo,19/05/1947,Doctoral Degree in Ed.,Edo,1999 - 2003,house
Alegbe Benson,PDP,Owan East & West,06/06/1934,Bachelors Degree in Law,Edo,1999 - 2003,house
Aziegbemi Anthony,PDP,Esan North-East/ Esan South-East,06/09/1958,PH.D Economics,Edo,1999 - 2003,house
Odubu E. Pius,PDP,Orhionmwon/ Uthmwode,01/07/1957,Doctor or Jurisprudence in Law,Edo,1999 - 2003,house
Sunday I. Aguebor,PDP,Egor & Ikpoba-Okha Esan South East,10/10/1957,"Primary, Secondary & OND",Edo,1999 - 2003,house
Ogbeide Enoma Willie,PDP,Oredo,21/04/1953,Medical Degree,Edo,1999 - 2003,house
Oiboh Gabriel Ehinmen,PDP,Esan Central/Esan West/ Igueben,16/11/1953,Bachelor of Pharmacy Degree,Edo,1999 - 2003,house
Ehiogie West-Idahosa,PDP,Ovia South/West-Ovia North/East,18/01/1963,Bachelor of Law Degree,Edo,1999 - 2003,house
Augustine U. Obozuwa,PDP,Etsako East/West/Central,16/12/1941,Bachelor of Law Degree,Edo,1999 - 2003,house
,,,,,Ekiti,1999 - 2003,house
Ogunsanmi Owoola,AD,Ekiti North II,24/09/1943,"Bachelor Degree in Building Engineering, P.G. in Engineering Admin.",Ekiti,1999 - 2003,house
Ojo Olusegun,AD,Ekiti North I,21/10/1957,Master Degree in Agric Economics and Mgt.,Ekiti,1999 - 2003,house
Joseph Aderemi Ajayi,AD,Ekiti South I,02/04/1944,Bachelor Degree in Sociology,Ekiti,1999 - 2003,house
Francis Oluyemi Aladejebi,AD,Ekiti South II,21/06/1950,Bachelor Degree in Electrical Engineering,Ekiti,1999 - 2003,house
Fajura Charles Adedayo,AD,Ekiti Central I,18/03/1960,Master Degree in Industrial Relations,Ekiti,1999 - 2003,house
